ID	PPQ_nM
OM001	NA
OM002	NA
OM003	NA
OM004	NA
OM005	NA
OM006	NA
OM007	NA
OM008	NA
OM013	NA
OM016	NA
OM020	NA
OM021	NA
OM022	NA
OM023	NA
OM024	NA
OM028	NA
OM029	NA
OM031	NA
OM033	NA
OM036	NA
OM038	NA
OM039	NA
OM042	NA
OM045	NA
OM048	NA
OM050	NA
OM051	NA
OM052	NA
OM053	NA
OM054	NA
OM056	NA
OM057	NA
OM058	NA
OM059	NA
OM061	NA
OM062	NA
OM063	NA
OM064	NA
OM065	NA
OM068	NA
OM071	NA
OM075	NA
OM080	NA
OM081	NA
OM082	NA
BB009	NA
BB010	NA
BB006	NA
OM189	NA
OM190	NA
OM195	NA
OM196	NA
OM199	NA
OM201	NA
OM223	NA
OM225	NA
OM227	NA
OM228	NA
OM229	NA
OM237	NA
OM239	NA
OM240	NA
OM246	NA
OM087	NA
OM088	NA
OM089	NA
OM090	NA
OM097	NA
OM098	NA
OM100	NA
OM101	NA
OM103	NA
OM104	NA
OM107	NA
OM106	NA
OM109	NA
OM110	NA
OM111	NA
OM113	NA
OM116	NA
OM117	NA
OM122	NA
OM123	NA
OM128	NA
OM129	NA
OM132	NA
OM133	NA
OM134	NA
OM135	NA
OM136	NA
OM137	NA
OM138	NA
OM139	NA
OM140	NA
OM144	NA
OM147	NA
OM148	NA
OM149	NA
OM150	NA
OM151	NA
OM152	NA
OM154	NA
OM157	NA
OM159	NA
OM160	NA
OM161	NA
OM162	NA
OM163	NA
OM168	NA
OM171	NA
OM175	NA
OM181	NA
OM182	NA
OM191	NA
OM193	NA
OM194	NA
OM203	NA
OM216	NA
OM230	NA
OM235	NA
OM241	NA
OM243	NA
BB007	NA
OM083	NA
OM084	NA
OM091	NA
OM095	NA
OM096	NA
OM102	NA
OM112	NA
OM120	NA
OM121	NA
OM130	NA
OM153	NA
OM165	NA
OM166	NA
OM167	NA
OM169	NA
OM172	NA
OM173	NA
OM174	NA
OM177	NA
OM178	NA
OM180	NA
OM179	NA
OM184	NA
OM186	NA
OM188	NA
OM198	NA
OM200	NA
OM202	NA
OM204	NA
OM205	NA
OM207	NA
OM210	NA
OM213	NA
OM211	NA
OM212	NA
OM222	NA
OM226	NA
OM232	NA
OM234	NA
OM248	NA
EP1059	F
EP1079	F
EP1084	F
EP1088	F
EP1086	5.12
EP1085	30.75
EP1089	
EP1090	11.12
EP1091	26.15
EP1092	42.47
EP10-107	19.35
EP10-110	F
EP10-114	47.27
EP10-119	3.78
EP10-121	
EP10-120	F
EP10-141	1.17
EP10-149	
EP10-142	36.59
EP10-143	9.38
EP10-178	10.84
OM307	
OM309	
OM323	
OM328	
OM329	
OM330	
PL010	F
PL011	27.35
PL013	12.18
PL014	16.67
BB024	
BB036	
BB037	
BB044	
BB045	
BB046	
BB060	
OM321	
OM326	
OM327	
OM343	F
PV010	
PV014	
PV015	
PV017	
PV020	
PV024	
PL004	
OM253	
OM254	
OM255	
OM256	
OM257	
OM259	
OM260	
OM263	
OM264	
OM265	
OM266	
OM267	
OM268	
OM277	
OM280	
OM290	
OM308	
OM315	
OM334	F
OM340	8.17
BB015	
BB018	
BB022	
BB042	
BB050	25.66
BB058	22.46
BB059	14.3
OM287	
OM297	
OM306	
BB026	
BB027	
BB028	
BB030	
BB031	
BB032	
BB033	
BB038	
BB039	
BB040	
BB041	
BB048	12.06
BB049	22.81
BB051	F
BB052	3.98
BB053	13.99
BB056	59.72
BB057	F
OM249	
OM250	
OM251	
OM252	
OM258	
OM261	
OM262	
OM274	
OM288	
OM331	
OM332	
KP001	9.79
KP002	
KP003	12.28
KP004	F
KP005	F
KP008	
KP010	12.63
KP015	7.45
KP016	40.9
KP018	12.92
KP019	16.86
KP020	31.06
KP027	17.43
KP032	F
KP037	20.36
KP039	8.43
KP046	F
KP047	17.22
KP054	7.72
KP055	5.12
PV060	28.13
PV061	
PV066	12.94
PV067	9.5
PV068	36.14
PV070	F
PV071	14.09
PV075	10.5
PV076	18.31
PV077	40.32
PV078	20.81
PV079	24.87
PV081	
PV082	
PV083	
PV085	11.15
BB064	41.03
BB073	27.47
BB082	13.41
BB085	9.39
BB086	22.34
BB089	22.49
BB090	18.72
KK005	8.72
PL015	39.35
PL016	12.62
PL017	45.83
PL019	13.01
PL022	11.29
PL025	36.24
PL037	9.56
PL042	11.56
PV069	19.32
PV074	11.73
PV084	F
BB065	F
BB078	F
BB079	11.27
BB080	11.02
PV036	22.75
PV044	F
PV045	11.29
PV049	19.64
PV053	F
PV056	10.31
PV057	25.52
PV062	20.86
PV064	11.94
PV065	9.64
PV073	
KP023	F
KP024	F
KP026	F
KP030	F
KP033	22.01
KP040	9.41
KP041	9.86
KP042	10.24
KP043	F
KP045	F
KP050	24.34
KP051	F
KP059	F
KP061	15.07
PV032	F
PV035	16.56
PV041	29.59
PV037	23.57
PV038	12.66
PV039	11.15
PV040	
PV042	F
PV043	F
PV046	F
PV047	16.36
PV048	
